City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
480,Caiaponia,BR,82.31,heavy intensity rain,-16.9567,-51.8103,HOTEL PALACE AVENIDA & CAIAPÓ TURISMO
481,Bela Vista Do Paraiso,BR,87.04,broken clouds,-22.9967,-51.1906,Recanto Valone
486,Cockburn Town,TC,80.56,few clouds,21.4612,-71.1419,Osprey Beach Hotel
487,Porto Novo,BJ,84.02,clear sky,6.4965,2.6036,Tour Eiffel Hotel Benin
498,Santiago Del Estero,AR,84.15,few clouds,-27.7951,-64.2615,Apartamentos Castelli 90
505,Dakar,SN,85.08,clear sky,14.6937,-17.4441,Redface Studios Meublés
510,San Andres,CO,84.22,few clouds,12.5847,-81.7006,Hotel Arena Blanca
523,Buin,CL,92.05,clear sky,-33.7333,-70.75,Paihuen
541,Mbandaka,CD,82.22,broken clouds,0.0487,18.2603,Guest House Epervier
547,Conde,BR,85.46,few clouds,-7.2597,-34.9075,Pousada Beija Flor
551,Otukpo,NG,85.55,clear sky,7.1913,8.1329,Queen s Hotel
557,Riohacha,CO,84.31,few clouds,11.5444,-72.9072,Hotel Taroa
558,Morant Bay,JM,85.62,clear sky,17.8815,-76.4093,Whispering Bamboo Cove Resort
559,Trairi,BR,85.39,scattered clouds,-3.2778,-39.2689,janelas do mar
567,Fomboni,KM,83.39,overcast clouds,-12.28,43.7425,Auberge les abou
581,Conceicao Da Barra,BR,84.18,few clouds,-18.5933,-39.7322,Cricaré Praia Hotel
593,Gizo,SB,83.08,overcast clouds,-8.103,156.8419,Imagination Island
611,Maraba,BR,89.78,few clouds,-5.3686,-49.1178,Hotel Del Principe
622,Formosa,AR,85.98,few clouds,-26.1775,-58.1781,Hotel Portal del Sol
627,Iquitos,PE,89.64,broken clouds,-3.7481,-73.2472,Casa Morey Hotel & Restaurant
629,Santa Fe,AR,80.02,clear sky,-31.6333,-60.7,Conquistador Hotel
642,Itarema,BR,86.14,scattered clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
643,Porto Velho,BR,89.65,scattered clouds,-8.7619,-63.9039,Hotel Central
649,Maragogi,BR,83.75,overcast clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
651,Nisia Floresta,BR,88.61,scattered clouds,-6.0911,-35.2086,Rancho Crepusculo
672,Ilhabela,BR,82.44,overcast clouds,-23.7781,-45.3581,Ilha Flat Hotel
677,Vila Velha,BR,85.95,few clouds,-20.3297,-40.2925,Quality Suites Vila Velha
679,Loandjili,CG,80.71,few clouds,-4.7561,11.8578,Résidence ARCHANGE
682,Sao Jose Da Coroa Grande,BR,84.22,overcast clouds,-8.8978,-35.1478,Crôa Mares Hotel
684,Warri,NG,83.46,few clouds,5.5167,5.75,BON Hotel Delta
