City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Kapaa,US,2022-02-06 04:44:30,22.0752,-159.319,75.18,79,0,11.5
68,Miranda,CO,2022-02-06 04:44:30,3.2499,-76.2281,69.93,91,88,2.57
69,Micheldorf,AT,2022-02-06 04:44:31,46.9222,14.4405,21.0,89,61,2.42
70,Arawa,PG,2022-02-06 04:44:31,-6.2132,155.5367,86.16,71,40,6.85
71,Waingapu,ID,2022-02-06 04:44:32,-9.6567,120.2641,87.12,64,82,12.26
72,Yerkoy,TR,2022-02-06 04:44:32,39.6381,34.4672,14.0,93,53,3.47
73,Chuy,UY,2022-02-06 04:44:33,-33.6971,-53.4616,61.41,93,15,7.87
74,Kavieng,PG,2022-02-06 04:43:49,-2.5744,150.7967,83.5,74,100,9.93
75,Punta Arenas,CL,2022-02-06 04:44:33,-53.15,-70.9167,50.11,66,40,8.05
76,Port Elizabeth,ZA,2022-02-06 04:44:34,-33.918,25.5701,68.09,88,0,13.8
77,Hasaki,JP,2022-02-06 04:44:34,35.7333,140.8333,48.29,27,14,15.77
78,Tasiilaq,GL,2022-02-06 04:44:35,65.6145,-37.6368,17.76,62,97,6.24
79,Monforte De Lemos,ES,2022-02-06 04:44:35,42.5216,-7.5142,39.58,95,37,1.79
80,Pasighat,IN,2022-02-06 04:44:36,28.0667,95.3333,62.38,70,92,2.86
81,Kenai,US,2022-02-06 04:44:36,60.5544,-151.2583,28.49,93,100,13.8
82,Arman,RU,2022-02-06 04:44:37,59.7,150.1667,10.06,76,21,9.55
83,Silleda,ES,2022-02-06 04:44:38,42.696,-8.2465,39.65,93,36,2.86
84,Bathsheba,BB,2022-02-06 04:44:38,13.2167,-59.5167,77.61,73,40,11.5
85,Arraial Do Cabo,BR,2022-02-06 04:42:02,-22.9661,-42.0278,75.85,89,82,24.7
86,Kulunda,RU,2022-02-06 04:44:39,52.566,78.9385,8.04,81,8,6.64
87,Hermanus,ZA,2022-02-06 04:42:22,-34.4187,19.2345,71.91,79,79,7.18
88,Astana,KZ,2022-02-06 04:41:13,51.1801,71.446,8.55,56,0,8.95
89,Caravelas,BR,2022-02-06 04:44:40,-17.7125,-39.2481,73.96,93,12,3.78
90,Aquiraz,BR,2022-02-06 04:44:40,-3.9014,-38.3911,82.18,81,19,6.53
91,Ilulissat,GL,2022-02-06 04:44:41,69.2167,-51.1,1.42,51,100,13.8
92,Trincomalee,LK,2022-02-06 04:44:41,8.5711,81.2335,80.69,63,43,10.11
93,Port Alfred,ZA,2022-02-06 04:44:42,-33.5906,26.891,71.78,85,35,23.94
94,Dikson,RU,2022-02-06 04:44:42,73.5069,80.5464,-22.31,100,99,4.85
95,Airai,TL,2022-02-06 04:44:43,-8.9266,125.4092,72.66,70,65,3.06
96,Saint-Pierre,RE,2022-02-06 04:44:43,-21.3393,55.4781,83.88,70,0,5.75
97,Qaanaaq,GL,2022-02-06 04:44:44,77.484,-69.3632,-1.93,97,100,2.3
98,Sumenep,ID,2022-02-06 04:44:44,-7.0167,113.8667,81.36,82,95,13.42
99,Krk,HR,2022-02-06 04:44:45,45.0258,14.5731,44.51,73,9,4.05
100,Aklavik,CA,2022-02-06 04:42:18,68.2191,-135.0107,-28.37,87,84,5.35
101,Atuona,PF,2022-02-06 04:42:25,-9.8,-139.0333,78.57,79,45,23.6
102,Sandeid,NO,2022-02-06 04:44:46,59.5449,5.8636,39.11,84,100,15.3
103,Puerto Baquerizo Moreno,EC,2022-02-06 04:44:46,-0.9,-89.6,73.92,84,56,9.69
104,Palmer,US,2022-02-06 04:44:47,42.1584,-72.3287,16.41,57,0,10.36
105,Thompson,CA,2022-02-06 04:44:47,55.7435,-97.8558,-27.24,75,20,0.0
106,Georgetown,MY,2022-02-06 04:44:48,5.4112,100.3354,89.53,73,20,1.01
107,Khuzhir,RU,2022-02-06 04:44:48,53.1939,107.3397,23.09,87,100,12.77
108,Klaksvik,FO,2022-02-06 04:43:56,62.2266,-6.589,32.92,67,100,23.51
109,Bud,US,2022-02-06 04:44:49,39.447,-86.1758,17.85,93,9,5.99
110,Victoria,HK,2022-02-06 04:41:18,22.2855,114.1577,66.96,72,100,1.99
111,Lazurne,UA,2022-02-06 04:44:50,46.084,32.5295,32.02,86,71,17.69
112,Adelaide,AU,2022-02-06 04:44:47,-34.9333,138.6,90.41,20,0,1.99
113,Ladario,BR,2022-02-06 04:44:51,-19.0047,-57.6017,72.73,95,80,0.51
114,Lavrentiya,RU,2022-02-06 04:44:51,65.5833,-171.0,-17.21,94,28,10.76
115,Grindavik,IS,2022-02-06 04:44:52,63.8424,-22.4338,31.95,74,75,19.57
116,Bulgan,MN,2022-02-06 04:44:53,48.8125,103.5347,11.64,66,15,2.06
117,New Norfolk,AU,2022-02-06 04:42:27,-42.7826,147.0587,77.67,32,0,3.0
118,Henties Bay,NA,2022-02-06 04:44:53,-22.116,14.2845,66.85,79,97,4.52
119,Narasannapeta,IN,2022-02-06 04:44:54,18.4167,84.05,76.44,49,54,7.05
120,Maldonado,UY,2022-02-06 04:44:54,-34.6667,-54.9167,63.79,87,93,11.1
121,Taldan,RU,2022-02-06 04:44:55,53.6667,124.8,10.85,52,100,6.76
122,Yishui,CN,2022-02-06 04:44:55,35.7847,118.6281,39.58,20,100,2.77
123,Provideniya,RU,2022-02-06 04:44:56,64.3833,-173.3,-3.82,76,0,12.8
124,Cidreira,BR,2022-02-06 04:44:57,-30.1811,-50.2056,72.14,91,78,6.76
125,Tuktoyaktuk,CA,2022-02-06 04:44:57,69.4541,-133.0374,-31.0,68,0,11.5
