City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Yellowknife,CA,62.456,-114.3525,-7.58,87,75,12.66,light snow
80,Srednekolymsk,RU,67.45,153.6833,-36.71,100,62,1.16,broken clouds
81,Diego De Almagro,CL,-26.3667,-70.05,84.52,15,0,14.52,clear sky
82,Manzil Salim,TN,35.8567,8.4765,51.8,62,100,3.33,overcast clouds
83,Babylon,US,40.6957,-73.3257,31.26,64,20,1.01,few clouds
84,Baft,IR,29.234,56.6057,40.23,50,0,3.71,clear sky
85,Kolpashevo,RU,58.3131,82.9089,9.25,94,100,4.61,overcast clouds
86,Carnarvon,AU,-24.8667,113.6333,74.17,69,21,23.78,few clouds
87,Verkhnevilyuysk,RU,63.4453,120.3167,-7.1,98,100,5.55,overcast clouds
88,Nemuro,JP,43.3236,145.575,24.98,75,89,17.11,overcast clouds
89,Mayumba,GA,-3.432,10.6554,78.35,86,60,5.37,broken clouds
90,Ulladulla,AU,-35.35,150.4667,61.77,83,63,9.15,broken clouds
91,Lethem,GY,3.3803,-59.7968,93.11,43,94,9.01,overcast clouds
92,Knysna,ZA,-34.0363,23.0471,79.18,58,86,5.5,overcast clouds
93,Moranbah,AU,-22.0016,148.0466,67.93,76,19,14.52,few clouds
94,Harper,LR,4.375,-7.7169,81.46,76,79,10.63,broken clouds
95,Quesnel,CA,52.9999,-122.5029,39.7,65,75,8.05,broken clouds
96,Souillac,MU,-20.5167,57.5167,79.36,89,40,11.5,scattered clouds
97,Wana,PK,32.2989,69.5725,43.03,80,78,1.66,broken clouds
98,Coihaique,CL,-45.5752,-72.0662,83.01,41,20,8.05,few clouds
99,Ponta Do Sol,PT,32.6667,-17.1,64.13,53,29,11.3,scattered clouds
100,Nador,MA,35.174,-2.9287,59.25,82,75,10.36,broken clouds
101,Cabra,ES,37.4725,-4.4421,56.64,64,59,4.0,broken clouds
102,Turukhansk,RU,65.8167,87.9833,-10.16,100,96,3.29,overcast clouds
103,Olinda,BR,-8.0089,-34.8553,85.73,54,40,9.22,scattered clouds
104,Upernavik,GL,72.7868,-56.1549,-12.93,96,100,6.17,overcast clouds
105,Najran,SA,17.4924,44.1277,61.45,40,6,5.14,clear sky
106,Thompson,CA,55.7435,-97.8558,-11.04,64,20,4.61,few clouds
107,Tilichiki,RU,60.4667,166.1,-14.31,86,63,9.01,broken clouds
108,Sao Felix Do Xingu,BR,-6.6447,-51.995,87.62,60,97,3.96,overcast clouds
109,Lavrentiya,RU,65.5833,-171.0,-12.46,93,5,6.67,clear sky
110,Ketchikan,US,55.3422,-131.6461,45.07,100,100,19.57,moderate rain
111,Ramanuj Ganj,IN,23.8,83.7,51.22,35,0,1.66,clear sky
112,Pevek,RU,69.7008,170.3133,-24.39,99,42,1.66,scattered clouds
113,Pangnirtung,CA,66.1451,-65.7125,-31.0,68,75,0.0,broken clouds
114,Dongsheng,CN,39.8161,109.9776,16.9,35,100,4.29,overcast clouds
115,Antalaha,MG,-14.9003,50.2788,76.59,87,80,5.3,broken clouds
116,Dikson,RU,73.5069,80.5464,-20.88,99,82,9.37,broken clouds
117,Ormara,PK,25.2088,64.6357,71.78,76,0,11.59,clear sky
118,Kutum,SD,14.2,24.6667,59.4,14,36,11.63,scattered clouds
119,Bela,IN,25.9333,81.9833,52.83,67,0,4.09,clear sky
120,Okha,RU,53.5739,142.9478,1.27,93,100,22.08,overcast clouds
121,Aranos,NA,-24.1333,19.1167,81.9,35,77,11.63,broken clouds
122,Faanui,PF,-16.4833,-151.75,81.23,76,100,22.79,light rain
123,Mar Del Plata,AR,-38.0023,-57.5575,66.22,89,100,25.01,overcast clouds
124,Leopoldov,SK,48.4458,17.7646,46.45,83,100,8.99,light rain
125,Balaipungut,ID,1.05,101.2833,73.81,96,100,1.77,overcast clouds
126,Canico,PT,32.6333,-16.85,64.13,78,75,1.99,broken clouds
127,Isla Mujeres,MX,21.2311,-86.731,77.05,81,26,10.07,scattered clouds
128,Am Timan,TD,11.0297,20.2827,79.97,14,11,5.91,few clouds
129,Yulara,AU,-25.2406,130.9889,69.64,43,0,6.91,clear sky
130,East London,ZA,-33.0153,27.9116,72.54,88,20,12.66,few clouds
131,Tasiilaq,GL,65.6145,-37.6368,23.16,63,100,32.84,overcast clouds
132,Ahome,MX,25.9167,-109.1833,66.15,46,0,8.48,clear sky
133,Narsaq,GL,60.9167,-46.05,7.02,64,100,1.79,overcast clouds
134,Kirakira,SB,-10.4544,161.9205,80.85,86,100,7.7,overcast clouds
135,Nurota,UZ,40.5614,65.6886,35.69,77,100,10.98,overcast clouds
136,Desbiens,CA,48.4178,-71.9495,3.85,85,99,10.54,overcast clouds
137,Coihueco,CL,-36.6167,-71.8333,95.81,10,0,7.07,clear sky
138,Avera,US,33.194,-82.5271,49.75,43,70,10.51,broken clouds
139,Iqaluit,CA,63.7506,-68.5145,-32.31,66,20,4.0,few clouds
140,Salmo,CA,49.1999,-117.2689,38.08,84,96,1.99,overcast clouds
141,San Vicente,AR,-26.6167,-54.1333,86.49,23,0,7.56,clear sky
142,Ascension,US,30.2169,-90.9001,56.1,40,0,4.61,clear sky
143,Sisimiut,GL,66.9395,-53.6735,0.5,94,100,10.0,overcast clouds
144,Port-Gentil,GA,-0.7193,8.7815,80.55,77,10,10.45,clear sky
145,Reinosa,ES,42.9996,-4.138,42.21,87,100,3.8,overcast clouds
146,Imeni Poliny Osipenko,RU,52.4201,136.4853,0.34,98,100,3.89,overcast clouds
147,Lagoa,PT,39.05,-27.9833,60.21,84,8,12.1,clear sky
148,Key West,US,24.5557,-81.7826,82.4,69,0,8.05,clear sky
149,Mbanza-Ngungu,CD,-5.25,14.8667,70.68,89,81,2.75,light rain
150,Saskylakh,RU,71.9167,114.0833,-23.96,100,97,1.5,overcast clouds
151,Cansancao,BR,-10.6672,-39.4992,94.14,25,57,6.26,broken clouds
152,Palmer,US,42.1584,-72.3287,28.02,39,40,1.99,scattered clouds
153,Grindavik,IS,63.8424,-22.4338,27.07,74,100,8.05,overcast clouds
154,Tessalit,ML,20.1986,1.0114,72.41,9,0,6.35,clear sky
155,Havre-Saint-Pierre,CA,50.2334,-63.5986,5.59,51,0,16.11,clear sky
156,Ca Mau,VN,9.1769,105.15,79.36,68,88,10.76,overcast clouds
157,Krutinka,RU,56.0055,71.5113,-2.13,93,100,4.29,overcast clouds
158,Kalmunai,LK,7.4167,81.8167,76.32,80,97,7.34,light rain
159,Richards Bay,ZA,-28.783,32.0377,72.16,92,18,6.55,moderate rain
160,Ignacio Zaragoza,MX,28.3833,-107.2167,51.75,24,0,5.99,clear sky
161,Ranong,TH,9.9658,98.6348,75.25,89,55,4.85,broken clouds
162,Kuantan,MY,3.8077,103.326,77.11,88,20,5.75,moderate rain
163,College,US,64.8569,-147.8028,-1.71,78,100,3.44,light snow
164,Mahebourg,MU,-20.4081,57.7,79.25,89,40,11.5,scattered clouds
165,Saint-Augustin,CA,51.226,-58.6502,-1.86,70,12,15.28,few clouds
166,Bereznik,RU,62.8551,42.7072,13.01,96,100,7.49,overcast clouds
167,Port Augusta,AU,-32.5,137.7667,71.71,33,15,8.41,few clouds
168,Lasa,IT,46.6166,10.7002,41.74,66,93,4.16,overcast clouds
169,Americana,BR,-22.7392,-47.3314,83.5,76,100,5.46,overcast clouds
170,Pisco,PE,-13.7,-76.2167,71.02,83,40,10.36,mist
171,Metkovic,HR,43.0542,17.6483,50.47,83,9,3.33,clear sky
172,Haines Junction,CA,60.7522,-137.5108,39.15,45,90,13.8,overcast clouds
173,Zhicheng,CN,30.2956,111.5047,32.27,99,100,7.2,light snow
174,San Pedro De Macoris,DO,18.4616,-69.2972,82.53,82,92,13.2,overcast clouds
175,Mackay,AU,-21.15,149.2,72.68,66,69,19.06,broken clouds
176,Hasaki,JP,35.7333,140.8333,25.2,43,0,25.39,clear sky
177,Esperance,AU,-33.8667,121.9,62.44,77,32,28.52,scattered clouds
178,Geraldton,AU,-28.7667,114.6,68.41,52,40,10.36,scattered clouds
179,Arcata,US,40.8665,-124.0828,56.01,76,0,0.0,clear sky
180,Portland,US,45.5234,-122.6762,52.2,85,100,1.01,fog
181,Puerto Ayora,EC,-0.7393,-90.3518,84.16,86,37,8.01,scattered clouds
182,Port Lincoln,AU,-34.7333,135.8667,71.8,68,0,14.25,clear sky
183,Ondjiva,AO,-17.0667,15.7333,69.4,75,100,4.25,light rain
184,Kasama,ZM,-10.2129,31.1808,60.26,97,100,1.88,overcast clouds
185,Raga,SS,8.4596,25.678,70.88,18,61,4.43,broken clouds
